# run 2 computed 2026-09-07 19:06:46+00:00 · scoring: party_size=2 service=dinner grid=30min min_nights=2
rank,venue_id,name,neighborhood,cuisine,price,score,days_scored,taken_total,boxes_total,far_out_open_boxes,excluded,reason,evidence,rating_tier,rating_avg,rating_count,url,taken_over_boxes_2026-09-08,taken_over_boxes_2026-09-09,taken_over_boxes_2026-09-10,taken_over_boxes_2026-09-11,taken_over_boxes_2026-09-12,taken_over_boxes_2026-09-13,taken_over_boxes_2026-09-14,open_times_2026-09-08,open_times_2026-09-09,open_times_2026-09-10,open_times_2026-09-11,open_times_2026-09-12,open_times_2026-09-13,open_times_2026-09-14
52,54575,Norcina,Marina,Italian & Pizza,$,0.1524,7,16,93,11,0,,,C,4.46078,510,https://resy.com/cities/san-francisco-ca/venues/norcina,0/11,4/15,4/15,4/15,4/15,0/11,0/11,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
53,93675,Moongate Lounge,"Chinatown, San Francisco",Cocktail Bar,$,0.15,5,6,40,0,0,,,C,4.44,75,https://resy.com/cities/san-francisco-ca/venues/moongate-lounge,0/8,0/8,0/8,6/8,0/8,,,18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,18:00 18:30,18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,,
54,10338,Zut! On Fourth,Berkeley,American,$$,0.1488,7,7,48,5,0,,,B,4.65581,6970,https://resy.com/cities/san-francisco-ca/venues/zut-tavern,1/6,1/6,1/6,1/8,1/8,1/8,1/6,17:00 17:30 18:00 18:30 19:00,17:00 17:30 18:00 18:30 19:00,17:00 17:30 18:00 18:30 19:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00,17:00 17:30 18:00 18:30 19:00
55,5227,Main Street Kitchen & Bar,Downtown,American,$$,0.1414,7,10,63,8,0,,,C,4.47554,3230,https://resy.com/cities/san-francisco-ca/venues/main-street-kitchen-and-bar,1/9,1/9,1/9,3/11,3/11,0/5,1/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
56,5177,Tsunami - Panhandle,NoPa,Japanese,$$$,0.1333,5,6,45,0,0,,,A,4.7261,774,https://resy.com/cities/san-francisco-ca/venues/tsunami-panhandle,1/9,2/9,1/9,1/9,1/9,,,17:30 18:00 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 19:00 19:30 20:00 20:30 21:00 21:30,,
57,49756,Moshi Moshi,Dogpatch,Japanese,$$,0.125,6,6,48,7,0,,,B,4.66202,1506,https://resy.com/cities/san-francisco-ca/venues/moshi-moshi,1/8,1/8,1/8,1/8,1/8,,1/8,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,,17:00 17:30 18:00 18:30 19:00 19:30 20:00
58,4466,Ungrafted,Dogpatch,American,$$,0.1238,5,5,41,0,0,,,A,4.72882,1877,https://resy.com/cities/san-francisco-ca/venues/ungrafted,1/7,1/7,1/9,1/9,1/9,,,17:00 17:30 18:00 18:30 19:00 19:30,17:00 17:30 18:00 18:30 19:00 19:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,,
59,77410,Kuma Sushi + Sake (Polk St),Lower Polk,Sushi,$$,0.1143,7,8,70,9,0,,,A,4.83848,1003,https://resy.com/cities/san-francisco-ca/venues/kuma-sushi-and-sake,1/10,1/10,1/10,2/10,1/10,1/10,1/10,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30
60,82814,Prik Hom,Jordan Park,Thai,$$,0.1143,5,4,35,0,0,,,B,4.65144,591,https://resy.com/cities/san-francisco-ca/venues/prik-hom,,0/7,0/7,4/7,0/7,0/7,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,
61,92068,Elephant Sushi - Grove Street,Hayes Valley,Sushi,$,0.1111,7,7,63,8,0,,,C,4.54286,35,https://resy.com/cities/san-francisco-ca/venues/elephant-sushi-grove-street,1/9,1/9,1/9,1/9,1/9,1/9,1/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
62,97921,The Front Porch,Bernal Heights,Southern,$,0.1111,7,7,63,8,0,,,A,4.73034,89,https://resy.com/cities/san-francisco-ca/venues/the-front-porch,1/9,1/9,1/9,1/9,1/9,1/9,1/9,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
63,912,Gialina,Glen Park,Pizza,$$,0.1111,7,7,63,8,0,,,A,4.84915,3129,https://resy.com/cities/san-francisco-ca/venues/gialina,1/9,1/9,1/9,1/9,1/9,1/9,1/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
64,92060,Elephant Sushi - Hyde Street,San Francisco,Sushi,$$,0.1111,6,6,54,0,0,,,A,4.75581,86,https://resy.com/cities/san-francisco-ca/venues/elephant-sushi-hyde-street,1/9,1/9,1/9,1/9,1/9,1/9,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,
65,86860,Mestiza,SOMA,Asian,$,0.1111,5,5,45,0,0,,,B,4.63529,85,https://resy.com/cities/san-francisco-ca/venues/mestiza,1/9,1/9,1/9,1/9,1/9,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,,
66,30223,AltoVino,Nob Hill,Italian,$$,0.1111,5,5,45,0,0,,,A,4.81286,2752,https://resy.com/cities/san-francisco-ca/venues/altovino,,1/9,1/9,1/9,1/9,1/9,,,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,
67,85013,Violet's,Central Richmond,Californian,$$,0.1053,7,7,67,8,0,,,B,4.65495,313,https://resy.com/cities/san-francisco-ca/venues/violets,1/9,1/9,1/9,1/11,1/11,1/9,1/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
68,73633,Loló,Dolores Heights,Mexican,$$,0.1044,6,6,58,8,0,,,B,4.61129,1541,https://resy.com/cities/san-francisco-ca/venues/lolo,1/9,1/9,1/9,1/11,1/11,,1/9,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
69,96141,The Martini Room at Causwells,Marina District,Cocktail Bar,$$,0.1044,3,3,29,0,0,,,,5.0,1,https://resy.com/cities/san-francisco-ca/venues/the-martini-room-at-causwells,1/9,1/9,1/11,,,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,,,,
70,80121,Amelie,San Francisco,Wine Bar,$$,0.1039,7,8,77,11,0,,,C,4.54593,381,https://resy.com/cities/san-francisco-ca/venues/amelie,0/11,0/11,0/11,3/11,5/11,0/11,0/11,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30,16:00 16:30 17:00 17:30 18:00 18:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
71,77434,Kuma on Valencia,Mission,Sushi,$$,0.1,7,7,70,9,0,,,A,4.78942,964,https://resy.com/cities/san-francisco-ca/venues/kuma-on-valencia,1/10,1/10,1/10,1/10,1/10,1/10,1/10,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30
72,6303,Mission Chinese Food SF,Mission District,Chinese,$$,0.1,7,7,70,9,0,,,D,4.33498,606,https://resy.com/cities/san-francisco-ca/venues/mission-chinese-food-sf,1/10,1/10,1/10,1/10,1/10,1/10,1/10,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
73,2191,Picco Restaurant,Larkspur,Contemporary American,$$,0.1,7,6,60,7,0,,,B,4.59673,6296,https://resy.com/cities/san-francisco-ca/venues/picco-restaurant,1/8,1/8,0/8,1/10,1/10,1/8,1/8,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,16:30 17:00 17:30 18:00 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00
74,98078,Polenta Trattoria Friulana,Alamo Square,Italian,$$,0.1,5,5,50,0,0,,,A,4.83505,194,https://resy.com/cities/san-francisco-ca/venues/polenta-trattoria-friulana,1/10,1/10,1/10,1/10,1/10,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,,
75,97100,The Hall,Mission District,Street Food,$,0.0909,7,7,77,10,0,,,,4.68421,19,https://resy.com/cities/san-francisco-ca/venues/the-hall,1/11,1/11,1/11,1/11,1/11,1/11,1/11,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30
76,98461,Song Wat,Lower Haight,Thai,$,0.0893,7,5,56,8,0,,,A,4.76471,85,https://resy.com/cities/san-francisco-ca/venues/song-wat,3/8,0/8,0/8,0/8,2/8,0/8,0/8,17:00 17:30 18:00 18:30 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
77,7496,Piccino Dogpatch,Dogpatch,Italian,$$,0.0889,5,4,44,0,0,,,A,4.72722,7299,https://resy.com/cities/san-francisco-ca/venues/piccino,,1/9,1/9,1/9,1/9,0/8,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,
78,97441,Harajuku Sushi,Richmond District,Japanese,$,0.0884,6,6,68,0,0,,,D,4.26087,23,https://resy.com/cities/san-francisco-ca/venues/harajuku-sushi,1/11,1/11,1/11,1/12,1/12,1/11,,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,
79,10600,1601 Bar & Kitchen,Soma,Californian,$$,0.0857,5,3,35,0,0,,,S,4.85135,74,https://resy.com/cities/san-francisco-ca/venues/1601-bar-and-kitchen,0/7,0/7,0/7,0/7,3/7,,,17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30,19:00 19:30 20:00 20:30,,
80,667,The Morris,The Mission,American,$$$,0.0833,6,5,60,10,0,,,A,4.78518,10055,https://resy.com/cities/san-francisco-ca/venues/the-morris,1/10,0/10,1/10,1/10,2/10,,0/10,17:00 17:30 18:00 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 20:00 20:30 21:00 21:30,17:00 17:30 18:00 19:30 20:00 20:30 21:00 21:30,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30
81,88787,Indigo,Marina,Californian,$,0.0833,6,5,59,0,0,,,A,4.84672,137,https://resy.com/cities/san-francisco-ca/venues/indigo-ca,1/10,1/10,1/10,1/10,1/10,0/9,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,
82,56952,Camino Alto,Cow Hollow,Californian,$$,0.081,6,4,50,7,0,,,A,4.81028,759,https://resy.com/cities/san-francisco-ca/venues/camino-alto,,1/8,1/8,1/9,0/9,0/8,1/8,,17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:30 18:00 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30
83,96866,Marrakech Moroccan Restaurant,San Francisco,Moroccan,$,0.0769,4,4,52,0,0,,,C,4.52381,21,https://resy.com/cities/san-francisco-ca/venues/marrakech-moroccan-restaurant,,,1/13,1/13,1/13,1/13,,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30,
84,91985,bosque,San Francisco,Contemporary American,$$,0.0741,6,4,54,8,0,,,A,4.76494,251,https://resy.com/cities/san-francisco-ca/venues/bosque,1/9,1/9,1/9,0/9,0/9,,1/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
85,95269,Bar Esper,Union Square & The Tenderloin,Portuguese-Japanese,$$,0.0741,6,4,52,0,0,,,A,4.75,72,https://resy.com/cities/san-francisco-ca/venues/bar-esper,1/9,1/9,1/9,0/8,0/8,,1/9,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30
86,73079,Leopold's,Russian Hill,German,$,0.0686,5,3,43,0,0,,,A,4.76324,680,https://resy.com/cities/san-francisco-ca/venues/leopolds,,0/8,0/8,1/10,1/10,1/7,,,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:30 18:00 18:30 19:00 19:30 20:00,
87,84694,Wizards and Wands,Marina District,American,$,0.0679,5,4,65,0,0,,,C,4.42675,314,https://resy.com/cities/san-francisco-ca/venues/wizards-and-wands,,1/11,1/11,1/11,0/17,1/15,,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,
88,10736,SPQR,Lower Pacific Heights,Italian,$$$$,0.0635,7,4,63,9,0,,,C,4.42315,1503,https://resy.com/cities/san-francisco-ca/venues/spqr,1/9,1/9,0/9,0/9,0/9,0/9,2/9,17:00 17:30 18:00 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 19:00 19:30 20:00 20:30 21:00
89,82044,Casaro Osteria,Union Street,Italian,$$,0.0595,7,5,84,11,0,,,C,4.47431,506,https://resy.com/cities/san-francisco-ca/venues/casaro-osteria,1/12,1/12,0/12,1/12,1/12,0/12,1/12,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00
90,74859,Bar Gemini,Mission District,Wine Bar,$$,0.0556,6,3,48,7,0,,,A,4.7661,295,https://resy.com/cities/san-francisco-ca/venues/bar-gemini,0/7,0/7,2/9,1/9,0/9,,0/7,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,,17:00 17:30 18:00 18:30 19:00 19:30 20:00
91,64613,STK San Francisco,San Francisco,Steakhouse,$$,0.0421,5,4,87,17,0,,,F,3.39062,128,https://resy.com/cities/san-francisco-ca/venues/stk-san-francisco,0/17,0/17,0/17,,,4/19,0/17,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00,,,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00,15:00 15:30 16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30 22:00 22:30 23:00
92,59934,Buddy,The Mission,Natural Wine,$$,0.0333,6,2,70,0,0,,,B,4.68375,1034,https://resy.com/cities/san-francisco-ca/venues/buddy,0/12,0/12,0/12,0/12,0/12,2/10,,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00 21:30,16:00 16:30 17:00 17:30 18:00 18:30 19:00 19:30,
93,69461,Mattina,Lower Pacific Heights,Italian,$$,0.0303,6,2,60,0,0,,,C,4.44,1250,https://resy.com/cities/san-francisco-ca/venues/mattina,0/9,0/9,0/10,1/11,1/11,0/10,,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,16:30 17:00 17:30 18:00 18:30 19:00 19:30 20:00 20:30 21:00,
